group,t_start_beijing,t_end_beijing,hours,n_pts,A,u_A,A_over_uA,r,p
1,2026-06-29T10:06:28,2026-06-30T04:59:58,18.892,112,-0.9011,0.2543,-3.54,-0.3187,0.0006
2,2026-06-30T12:00:01,2026-06-30T20:11:25,8.190,48,-0.5648,0.5049,-1.12,-0.1611,0.2742
3,2026-07-01T15:58:41,2026-07-02T03:53:34,11.915,70,-0.9969,0.2784,-3.58,-0.3958,0.0007
4,2026-07-02T14:00:01,2026-07-03T07:51:20,17.856,106,-0.2755,0.2404,-1.15,-0.1111,0.2568
5,2026-07-03T17:34:22,2026-07-03T22:59:59,5.427,31,-1.8272,0.7916,-2.31,-0.3883,0.0309
6,2026-07-04T19:30:46,2026-07-05T09:59:59,14.487,85,-0.1603,0.2607,-0.62,-0.0670,0.5426
7,2026-07-05T13:00:01,2026-07-05T23:59:59,11.000,64,-0.6057,0.4602,-1.32,-0.1636,0.1964
8,2026-07-06T21:45:16,2026-07-07T09:51:57,12.112,71,0.3736,0.9264,0.40,0.0481,0.6901
9,2026-08-07T15:15:00,2026-08-07T21:29:59,6.250,36,2.6658,2.8301,0.94,0.1572,0.3598
10,2026-08-07T22:15:00,2026-08-08T14:20:53,16.098,95,-0.8950,0.3728,-2.40,-0.2404,0.0190
11,2026-08-09T00:00:00,2026-08-09T09:57:15,9.954,58,-0.8637,1.4249,-0.61,-0.0800,0.5504
12,2026-08-10T12:47:06,2026-08-10T23:59:59,11.215,66,-0.2220,0.4022,-0.55,-0.0683,0.5858
13,2026-08-11T05:30:00,2026-08-12T23:59:59,42.500,254,-0.3185,0.2090,-1.52,-0.0954,0.1294
14,2026-08-13T18:56:58,2026-08-14T14:00:35,19.061,113,-1.0809,0.2301,-4.70,-0.4058,0.0000
15,2026-08-21T00:40:03,2026-08-21T16:40:55,16.015,95,0.1397,0.6873,0.20,0.0210,0.8402
16,2026-08-21T23:20:01,2026-08-23T16:20:50,41.014,245,-0.0409,0.3846,-0.11,-0.0068,0.9155
17,2026-08-25T15:09:41,2026-08-26T09:29:53,18.337,109,-0.1294,0.3422,-0.38,-0.0364,0.7074
