group,t_start_beijing,t_end_beijing,n_valid,rem_start,rem_end,mean_dm_hz,shift_a,YbSr_R,y_i_1e18
1,2026-06-29T10:06:28,2026-06-30T04:59:58,68009,1,1,-0.025397,-1.720082e-16,1.2075070393433377209510767983938767322329599117406331324301043402646553171998745,0.0000000
2,2026-06-30T12:00:01,2026-06-30T20:11:25,29481,4,0,-0.024746,-1.719926e-16,1.2075070393433377168993193548491819497825387898125764586263935574544420566350736,-3.3554731
3,2026-07-01T15:58:41,2026-07-02T03:53:34,42891,2,1,-0.025789,-1.720365e-16,1.2075070393433377233626044649502188658374878906053730871566339887393403205960126,1.9971127
4,2026-07-02T14:00:01,2026-07-03T07:51:20,64280,0,0,-0.024502,-1.719901e-16,1.2075070393433377153827011338244817962826712325054633981800172744794742709451269,-4.6114644
5,2026-07-03T17:34:22,2026-07-03T22:59:59,19532,0,6,-0.024747,-1.720215e-16,1.2075070393433377168737684518941177389190801993671231740183622341423389689396841,-3.3766332
6,2026-07-04T19:30:46,2026-07-05T09:59:59,52140,1,13,-0.025168,-1.719710e-16,1.2075070393433377195622166843333091110568909831971542067263305348899819913763600,-1.1501880
7,2026-07-05T13:00:01,2026-07-05T23:59:59,39526,31,42,-0.026376,-1.717544e-16,1.2075070393433377273671640754368209024391600208629923382142295448148275995775965,5.3134989
8,2026-07-06T21:45:16,2026-07-07T09:51:57,43565,33,4,-0.025530,-1.717273e-16,1.2075070393433377221180516051412346843375623745860800842859170803185978860657593,0.9664331
9,2026-08-07T15:15:00,2026-08-07T21:29:59,22496,3,1,-0.009102,-8.134420e-17,1.2075070393433377286864794151210833199242319298349516116755831385941802746065942,6.4060932
10,2026-08-07T22:15:00,2026-08-08T14:20:53,57938,2,14,0.009546,7.905800e-18,1.2075070393433377200284365109209026125215644969664863535053502889625647877633115,-0.7640869
11,2026-08-09T00:00:00,2026-08-09T09:57:15,35824,5,7,0.008892,7.905800e-18,1.2075070393433377241064619390127634075709370045149295770204536413276806933277939,2.6131402
12,2026-08-10T12:47:06,2026-08-10T23:59:59,40346,21,7,0.009259,7.916800e-18,1.2075070393433377218315938523033850619071840578035935830441050604631650914960747,0.7292024
13,2026-08-11T05:30:00,2026-08-12T23:59:59,152994,6,0,0.009998,7.916800e-18,1.2075070393433377172166447052812449633548170530327839351695553597580340716015043,-3.0926794
14,2026-08-13T18:56:58,2026-08-14T14:00:35,68618,0,0,0.009019,7.916800e-18,1.2075070393433377233303050655228865363916726051370682023869817649491077426699316,1.9703639
15,2026-08-21T00:40:03,2026-08-21T16:40:55,57649,0,4,0.009448,7.916800e-18,1.2075070393433377206498696758075716831119596985415053887284610077588132674748250,-0.2494454
16,2026-08-21T23:20:01,2026-08-23T16:20:50,147640,2,8,0.009549,7.916800e-18,1.2075070393433377200195168842451618001715841646025532526244526491820934600293583,-0.7714737
17,2026-08-25T15:09:41,2026-08-26T09:29:53,65983,30,0,0.009573,7.916800e-18,1.2075070393433377198709444295302340509166988316637609923811518838745628424512232,-0.8945143
