group,T_s,OADEV_frac_T,u_i_ratio
1,68009,1.586161e-18,1.915300e-18
2,29481,1.733702e-18,2.093457e-18
3,42891,2.271253e-18,2.742554e-18
4,64280,9.877245e-19,1.192684e-18
5,19532,6.545589e-18,7.903845e-18
6,52140,5.065110e-19,6.116155e-19
7,39526,1.109557e-18,1.339798e-18
8,43565,3.307823e-18,3.994220e-18
9,22496,8.253144e-19,9.965730e-19
10,57938,1.452080e-18,1.753397e-18
11,35824,2.178611e-18,2.630688e-18
12,40346,1.566318e-18,1.891340e-18
13,152994,1.744843e-18,2.106911e-18
14,68618,1.485855e-18,1.794181e-18
15,57649,1.010808e-18,1.220557e-18
16,147640,3.540925e-19,4.275692e-19
17,65983,2.026951e-18,2.447558e-18

method,value
R_wls,1.2075070393433377207971725752135526646897416269591823738068332609234101449755134
u_wls,2.747619550788498e-19
chi2,86.77725068519794
dof,16
chi2_red,5.423578167824871
p_chi2,9.772732780569803e-12
birge_ratio,2.328857695915504
u_birge,6.398814936301694e-19
xi_mp,2.4666591585089364e-18
R_mp,1.2075070393433377212874364823108558316754281065256275936766160594950508617881506
u_mp,7.550062402566536e-19
mu_bayes,2.755749484139208e-19
u_stat_bayes,8.002316657762406e-19
xi_bayes,2.614322619520354e-18
R_bayes,1.2075070393433377212838354884703632585611172351282786656862443639359174351919899
grav_wls,-3.15921734373982e-19
grav_birge,-3.15921734373982e-19
grav_mp,-4.409165653853314e-19
grav_bayes,-4.433620708968427e-19
y_wls_precision_1e18,-0.12745617057770506
