scenario,coefficient,group,tau_s,n_pairs,sigma_y,sigma_factor_vs_raw
raw,0,1,1,68008,4.899945203321544e-15,1.0
raw,0,1,2,68006,1.854045705277595e-15,1.0
raw,0,1,4,68002,9.994747068230242e-16,1.0
raw,0,1,8,67994,5.355796126964956e-16,1.0
raw,0,1,16,67978,3.095654102971011e-16,1.0
raw,0,1,32,67946,1.8572724681611024e-16,1.0
raw,0,1,64,67882,1.0848280386757926e-16,1.0
raw,0,1,128,67754,6.343381635077529e-17,1.0
raw,0,1,256,67498,3.9158423862829597e-17,1.0
raw,0,1,512,66986,2.5318756267679593e-17,1.0
raw,0,1,600,66810,2.2864512933584098e-17,1.0
raw,0,1,1024,65962,1.447995732956673e-17,1.0
raw,0,1,1200,65610,1.240736785684295e-17,1.0
raw,0,1,2048,63914,8.441504371769382e-18,1.0
raw,0,1,3600,60810,5.40006021769534e-18,1.0
raw,0,1,4096,59818,5.059101398354372e-18,1.0
raw,0,1,7200,53610,4.486056161629249e-18,1.0
raw,0,1,8192,51626,4.185520566610419e-18,1.0
raw,0,1,16384,35242,4.245123481696525e-18,1.0
theory,-1,1,1,68008,4.899945203321e-15,0.9999999999998889
theory,-1,1,2,68006,1.8540457052748918e-15,0.999999999998542
theory,-1,1,4,68002,9.994747068371547e-16,1.0000000000141378
theory,-1,1,8,67994,5.35579612674468e-16,0.9999999999588716
theory,-1,1,16,67978,3.095654095436317e-16,0.9999999975660414
theory,-1,1,32,67946,1.8572724547230536e-16,0.9999999927646326
theory,-1,1,64,67882,1.0848280958551802e-16,1.0000000527082502
theory,-1,1,128,67754,6.343386523232819e-17,1.000000770591393
theory,-1,1,256,67498,3.9158557747112113e-17,1.0000034190416598
theory,-1,1,512,66986,2.531759913084289e-17,0.9999542972480768
theory,-1,1,600,66810,2.2862130927744455e-17,0.9998958208361332
theory,-1,1,1024,65962,1.4469260504108833e-17,0.9992612667831517
theory,-1,1,1200,65610,1.2393277760855727e-17,0.9988643767034399
theory,-1,1,2048,63914,8.395059163164407e-18,0.9944979938930909
theory,-1,1,3600,60810,5.225293729934196e-18,0.9676361965023175
theory,-1,1,4096,59818,4.816102877219972e-18,0.9519680468919949
theory,-1,1,7200,53610,3.839965902488449e-18,0.8559781162199823
theory,-1,1,8192,51626,3.4241052235158385e-18,0.8180834782730021
theory,-1,1,16384,35242,2.022942797372226e-18,0.4765333225510264
empirical,-0.54,1,1,68008,4.899945203321245e-15,0.9999999999999389
empirical,-0.54,1,2,68006,1.8540457052760857e-15,0.9999999999991861
empirical,-0.54,1,4,68002,9.994747068302855e-16,1.000000000007265
empirical,-0.54,1,8,67994,5.355796126818432e-16,0.999999999972642
empirical,-0.54,1,16,67978,3.095654098711411e-16,0.9999999986240065
empirical,-0.54,1,32,67946,1.8572724596315306e-16,0.9999999954074741
empirical,-0.54,1,64,67882,1.0848280608277728e-16,1.0000000204198078
empirical,-0.54,1,128,67754,6.343383676893198e-17,1.0000003218812594
empirical,-0.54,1,256,67498,3.915845730575776e-17,1.0000008540417327
empirical,-0.54,1,512,66986,2.5317889633487038e-17,0.999965771059866
empirical,-0.54,1,600,66810,2.2862858284814718e-17,0.9999276324505934
empirical,-0.54,1,1024,65962,1.447247278018464e-17,0.9994831097073189
empirical,-0.54,1,1200,65610,1.2397012665494423e-17,0.9991653998279082
empirical,-0.54,1,2048,63914,8.40452140538518e-18,0.9956189128435586
empirical,-0.54,1,3600,60810,5.247433345725242e-18,0.9717360796329718
empirical,-0.54,1,4096,59818,4.847310438768135e-18,0.9581366446509396
empirical,-0.54,1,7200,53610,3.8676508351277055e-18,0.8621494461458212
empirical,-0.54,1,8192,51626,3.408320150324914e-18,0.8143121258355422
empirical,-0.54,1,16384,35242,2.1972914970927238e-18,0.5176036707923032
raw,0,2,1,29480,2.43935949262477e-15,1.0
raw,0,2,2,29478,1.0358139818772705e-15,1.0
raw,0,2,4,29474,5.609123890197287e-16,1.0
raw,0,2,8,29466,3.525448456988472e-16,1.0
raw,0,2,16,29450,2.337772621400509e-16,1.0
raw,0,2,32,29418,1.5341260707264652e-16,1.0
raw,0,2,64,29354,9.176445838272473e-17,1.0
raw,0,2,128,29226,5.571204776754127e-17,1.0
raw,0,2,256,28970,3.3863251649469194e-17,1.0
raw,0,2,512,28458,1.9545380847150945e-17,1.0
raw,0,2,600,28282,1.7023463897915363e-17,1.0
raw,0,2,1024,27434,1.1913985650468793e-17,1.0
raw,0,2,1200,27082,1.168893132391433e-17,1.0
raw,0,2,2048,25386,8.863710525903052e-18,1.0
raw,0,2,3600,22282,5.127090647112167e-18,1.0
raw,0,2,4096,21290,4.784105448784152e-18,1.0
raw,0,2,7200,15082,3.016983602354775e-18,1.0
theory,-1,2,1,29480,2.4393594926252628e-15,1.000000000000202
theory,-1,2,2,29478,1.0358139819075117e-15,1.0000000000291955
theory,-1,2,4,29474,5.609123889553067e-16,0.9999999998851478
theory,-1,2,8,29466,3.52544845432438e-16,0.9999999992443253
theory,-1,2,16,29450,2.3377725444667514e-16,0.9999999670910008
theory,-1,2,32,29418,1.5341259463460179e-16,0.9999999189242333
theory,-1,2,64,29354,9.176447317689517e-17,1.0000001612189588
theory,-1,2,128,29226,5.571167060287898e-17,0.9999932301059212
theory,-1,2,256,28970,3.3862267974507867e-17,0.9999709515503263
theory,-1,2,512,28458,1.9547978555932968e-17,1.000132906531847
theory,-1,2,600,28282,1.7026070566268537e-17,1.0001531220889477
theory,-1,2,1024,27434,1.1899321277985274e-17,0.9987691463701787
theory,-1,2,1200,27082,1.167018813705421e-17,0.9983965012420105
theory,-1,2,2048,25386,8.88216339753295e-18,1.0020818450214468
theory,-1,2,3600,22282,5.029466038016581e-18,0.980959063177365
theory,-1,2,4096,21290,4.696659040199873e-18,0.9817214713345203
theory,-1,2,7200,15082,4.3082379017129285e-18,1.427995133400898
empirical,-0.54,2,1,29480,2.439359492625022e-15,1.0000000000001033
empirical,-0.54,2,2,29478,1.0358139818934711e-15,1.0000000000156406
empirical,-0.54,2,4,29474,5.609123889839847e-16,0.9999999999362751
empirical,-0.54,2,8,29466,3.525448455489021e-16,0.9999999995746779
empirical,-0.54,2,16,29450,2.3377725794893727e-16,0.9999999820721931
empirical,-0.54,2,32,29418,1.5341260013257598e-16,0.9999999547620585
empirical,-0.54,2,64,29354,9.176446487840221e-17,1.00000007078642
empirical,-0.54,2,128,29226,5.571183428279419e-17,0.9999961680685662
empirical,-0.54,2,256,28970,3.386265616958175e-17,0.9999824151592527
empirical,-0.54,2,512,28458,1.954634266825417e-17,1.0000492096373435
empirical,-0.54,2,600,28282,1.702417892267551e-17,1.000042002307194
empirical,-0.54,2,1024,27434,1.190324405717728e-17,0.9990984047147068
empirical,-0.54,2,1200,27082,1.1674897291206123e-17,0.998799374184063
empirical,-0.54,2,2048,25386,8.85949651182851e-18,0.9995245767489553
empirical,-0.54,2,3600,22282,5.0082973566951114e-18,0.9768302730352612
empirical,-0.54,2,4096,21290,4.650354905269742e-18,0.9720427267027734
empirical,-0.54,2,7200,15082,3.5696577128554495e-18,1.183187641480487
raw,0,3,1,42890,2.3617807880734563e-15,1.0
raw,0,3,2,42888,9.398587900815714e-16,1.0
raw,0,3,4,42884,5.268399070406328e-16,1.0
raw,0,3,8,42876,3.3634961643192336e-16,1.0
raw,0,3,16,42860,2.276737918983241e-16,1.0
